County,District,City,Latitude,Longitude,Name,Description,Image location,Image ref,Challenge
Aberdeen,Aberdeen,57.1482 N,2.0974 W,Provost Skene's House,"Built in 1545, it was bought by Sir George Skene of Fintray in 1669. Although it has been altered many times it’s a rare survival of Aberdeen’s medieval burgh architecture. It was opened to the public in 1953 by the Queen Mother as a 'Period House and Museum of Local History' with rooms furnished in 17th, 18th and early 19th century style. There are collections of coins, a painted gallery and a Costume Gallery. After a series of renovations, it was reopened to the public in 2021. Inside you can find information on prominent figures who were born or lived in Aberdeen, from singers and writers, to doctors.",A,Find 3 interesting historical facts about Provost Skene's House!
,,,57.13254,-2.20171,Duthie Park Winter Gardens,"The David Welch Winter Gardens at Duthie Park are one of Europe’s largest indoor gardens and Scotland’s third most visited gardens. It boasts a beautiful floral paradise all year round, with many rare and exotic plants on show from all around the world. Come and visit the Temperate House, Corridor of Perfumes, Fern House, Victorian Corridor, Japanese Garden, Tropical House and Arid House, which has one of the largest collections of Cacti and Succulents in Britain and the world's only talking cactus!","https://commons.wikimedia.org/wiki/File:Winter_Gardens,_Duthie_Park,_Aberdeen_-_geograph.org.uk_-_214009.jpg",Have a zero waste picnic here!
,,,57.1441 N,2.0737 W,Footdee 'Fittie',"Footdee - or Fittie as it is known by locals - is one of the most unique communities in the UK huddled at the end of a rewarding stroll along the beach front. The charming mid 19th century former fishing community was designed by John Smith, the architect responsible for Balmoral Castle, and to visit them today really is like stepping back in time. The cottages all face inwards in squares with their backs to the ocean to protect them and their inhabitants from the fierce storms, which then, as now, rage in from the sea.",B,"Play lighthouse bingo! Find 5 lighthouses - they can either be artwork, real lighthouses or statues!"
,,,57.1480 N,2.1026 W,Aberdeen Art Gallery,"This exceptional collection is housed in one of the city's finest granite buildings, which underwent a landmark transformation between 2015 and 2019. With more treasures on display and better visitor facilities, the Gallery has been been revitalised and re-imagined, ready to be rediscovered - a must-see destination on any visit to the Granite City. Aberdeen Art Gallery is a proud winner of Art Fund Museum of the Year 2020 and is home to one of the finest collections in the UK.",C,Draw a picture inspired by the art you saw!
,,,57.1465 N,2.0949 W,Aberdeen Maritime Museum,"Close to the busy harbour, on the historic Shiprow, Aberdeen Maritime Museum tells the story of the city’s long and often dramatic relationship with the sea, from the earliest days of trading, fishing and  shipbuilding, to the discovery of North Sea oil and gas, and Aberdeen’s place today as a leader in global energy transition.",D,"Play boat bingo, Find 10 different pictures and models of boats!"
,,,57.1698 N,2.1026 W,St Machar's Cathedral ,"St Machar's Cathedral usually called Old Machar is a Church of Scotland church in Aberdeen, Scotland. It is located to the north of the city centre, in the former burgh of Old Aberdeen. Technically, St Machar's is no longer a cathedral but rather a high kirk, as it has not been the seat of a bishop since 1690.",E,Can you count how many archways there are inside?
,,,57.1678 N,2.1064 W,Aberdeen Zoology Building,"The Zoology Building is a facility owned by the University of Aberdeen here in Tillydrone. It opened in 1970 and the building houses staff from the School of Biological Sciences as well as the University's Zoology Museum, which cares for an extensive range of material, worldwide in scope, covering the whole of the animal kingdom, from protozoa to the great whales. It holds various exhibits from the university's collections and specimens range in age from the 1840s to the late 1970s. The building's design is a Brutalist interpretation of the famous granite facade of Marischal College.",F,Make up a new animal! Why not draw it or write the made up name down.
,,,57.1416 N,2.0591 W,Torry Battery ,"The Torry Battery is an artillery battery, which has overlooked the city's harbour since 1860. It was last used defensively in World War II is now an ancient monument. Today it is an excellent viewing spot for dolphins at play and is a popular destination for tourists wishing to view some wildlife whilst staying in a city. Close by are the remains of a rocket-propelled life-saving apparatus station and a Robert Stevenson - designed lighthouse and accompanying disused foghorn.  ",G,Look out at the sea and see if you can spot some dolphins and don't forget to snap a pic!
,,,57.1451 N,2.1146 W,Girlguiding Aberdeen & Shetland HQ,The home of Aberdeen and Shetland guiding in the granite city!,H,Take a group selfie outside!
,,,57.1486 N,2.0976 W,Leopard Sculpture by Kelpies Artist Andy Scott & Mackie's icecream ,"The steel leopard was designed by the award-winning Kelpies artist Andy Scott - the Kelpies are two 30m-tall horse heads made of steel found beside the Forth and Clyde Canal near Falkirk, which became a tourist attraction in 2014. The leopard is made up of thousands of steel fragments, all individually welded. The sculpture stands 5m tall, weighs just over two tons, and will sit on top of a 10m high column. Stop by Mackie's Ice Cream for a cone while you're nearby!",I,Find out more about the historic significance of leopards in Aberdeen's history.
